,"Ехал из Харькова в Никополь, повела меня через Запорожье, Марганец, вначале думал, что дорога лучше, куда там... на одном участке уже и асфальта нет давно, все объезжают. Мужик какой то встретился на старом пирожке ( как из фильма ужасов на пикапе) Говорит вы че? куда вы?"
5,"быстрый не виснет..."
,"А можна додати якось українську мову в озвучення?"
,"На каком языке озвучка Украины?"
4,"В цілому навігатор гарний, швидкий, інформаційний дисплей. Жаль що немає голосових команд українською мовою((("
,"вопрос к менеджеру Garmin, на этой модели можно поставить грузовой транспорт, или карты закачать грузового транспорта ?"
,"По инструкции нужно подсоединить навигатор к компьютеру с помощью кабеля miniUSB , который нужно докупить ! В инструкции нету украинского и русского языков ! Навигатор поддерживает microSD накопитель объемом 32 GB ?"
,"Підскажіть, будь ласка, чи є українська мова інтерфейсу?"
,"установка карт для грузовиков возможна на эту модель. dezl дороговатые просто .Спасибо"
,"Каждый раз при выключении сбиваются все настройки, которые я делал, каждый раз при включении надо заново выбирать страну и принимать соглашения. Обновления якобы устанавливаются, но по факту весия ПО остается та же самая. Какой-то день сурка! Это что, так и должно быть???"
5,"При покупке этого устройства нужно сразу покупать флешку?"
5,"Доволі якісний сучасний навігатор, з мінімумом функцій - просто для навігації."
,"Я довольна покупкой,быстро,оперативно доставили."
,"Добрый вечер. Подскажите, есть ли карты для этой модели для грузовиков?"
,"підскажіть як на нього завантажити карти Європи, цікавить Польша"
,"Читает форматы mp3 и Видео форматы?"
,"Карта Навлюкс, установленная на навигатор, лицензионная? Если да, то лицензия Стандартная или Безлимитная? Спасибо!"
5,"навигатор супер. До этого был 50 неплохой но этот лучше. Сенсор мягкий,яркий экран. Можно самому задавать маршрут что очень важно. Цена хорошая. Советую"
,"Навигатор имеет закачанную карту Украины, а карту Европы как-то можна в него скачать?"
5,"В Недостатках и Достоинствах постарался описать свои впечатления. Общее впечатление хорошее, кроме непонимания с индексом LT, которого на самом деле нет."
,"Удобный и продуманный навигатор. Хорошая озывчивость экрана."
