,"Скажите, пожалуйста, а как обстоят дела с картами Крыма? Они обновляются?"
,"Купил сегодня, уже 11 часов вечера, а я так и не смог присоединиться к спутнику... Короче, не работает ничего."
,"Подскажите до какова размера поддержка карт памяти"
,"Навигатор просто бомбезный. У меня ревизия 1 уже почти три года - без единого сбоя."
,"Карты навител порадовали. Ранее столкнулся с версией 5.5 - был разочарован. А вот уже 7.5 - очень толково по киеву рулит. В другие областные центры ещё не выезжал."
,"Хорошая навигация, карты действительно подробные, видно каждый супермаркет и банкомат практически! Да и маршруты прокладывает нормальные. У меня претензий нет!"
,"Удобный в использовании. Компактный и стильный. В пути не всегда получается на экран смотреть, зато голосовые подсказки тут четкие, и включаются вовремя, так что поворот не проедешь!))"
,"Просто шикарен. Сперва смутила цена, думал мол всё отсталое. Собран на совесть. Корпус махоньктй, удобный, лёгкий. Не люфтит. Экран выдаёт отличного качества картинку. Богатая цветами матрица. Сенсорное управление упрощает управление. Множество функций поможет скрасить поездку. Держит дорогу не теряя, можно сохранять маршруты, загружать карты. В общем есть всё. И даже больше. Проверенно качественно собран. Может конкурировать без проблем с более дорогими моделями. Отличный вариант навигатора."
,"Подскажите,к ПО Навител с навигатором идёт лицензионный ключ.Можно ли в него устанавливать карты с официального сайта Навител?"
,"Кто нибуть подскажите,что означает в описании пакет документов навител?"
,"Подскажите,стилус в комплекте идёт?"
,"НУ что сказать - на уровень выше тенекса. По качеству, быстродействию и надёжности на порядок лучше и выше тенекса. Спутники ловит моментально."
,"Как работает видео вход?Возможно ли к нему подключить камеру заднего вида?"
,"устройством доволен)) гарантийный сервис пятерка ! купил в Киеве, уронил в Одессе перестал работать , сдал утром в сервис Одесса, вечером привез курьер , приятно и бесплатно"
,"Повністю згодна з коментарями Сергія (11 січня 2012року) з приводу новігатора. Після того як купила новигатор комп його не бачив, потратила на те щоб знайти хоч якийсь вихід не один день. І знайшла одну зовсім незначну програмку яка підходе лише для віндовса ХР, і її можна було б вставити у комплект заводу адже це не важко, та нажаль завод це неродумав. але змінивши систему на компі на від.7 комп новігатора знову небаче. В сервісному центрі мені не допомогли а як мені пояснили що в них ХР і все баче,( ну да баче бо теж поставили ту незначну програмку) от і все а ні ще в с.ц. віруси накинули! В комплекті прошивки не має, якби була то при будь-яких проблемах сама б усе зробила і не зверталася б у с.ц., не чикала б 14 днів і все без толку. Так - що перед тим як купувати перестрахуйтеся і зважте все!!"
