,"У кого работает интернет с симкартой МТС ? Помогите настроить, плз..."
,"Кто-нибудь настроил интернет от МТС? У меня ничего не получилось :( Оператор: MTS Провайдер: MTS APN: inernet Логин: Пароль: Номер: *99# Не работает !!! Что не так ?"
,"Это навигатор подойдет для таксиста, чтоб принимать заказы, считать суммы?"
,"Хорошая цена как за прибор с sim картой"
,"Подскажите пожалуйста, возможно ли на этом навигаторе прокладывать путь от А до Б с учетом того что точка А будет идти не от вашего место положения?"
,"Отличный навигатор как по скорости работы, так и функционированию GSM и интернета"
2,"Разочарован. На вторые сутки езды в машине отклеилась стеклянная панель дисплея. Тормозил ужасно изначально. Потом совсем глюкнул. Невидит внутреннюю память. Пришлось скачать другую версию навитела и использовать с карты памяти. Интернет сервисы работают и звонить можно. Неплохое звучание. Почти не фонит. А в целом: Китай, еще раз Китай......"
4,"В принципе отличный навигатор, с флэшкой в комплекте и не тормозящщей ОС, гуд."
,"Непогана річ. Ненавязливий голос майже вчасно про все попереджає. Видимість добра навіть на сонці. Карти прописані доволі грамотно. Меню девайсу і ПЗ майже одразу зрозуміле і доступне для швидкого управління. Кріплення досить комфортне. Трохи короткий шнур живлення для машин з широкою передньою панеллю - від скла до прикурювача далекувато і натягується сильно, а це розбалансовує гніздо входу ЮСБ. Матеріали виконання якісні - скрипів нема."
,"Пробками никого уже не удивишь. А вот гугль уже запустил сервис ЯМЫ! Так что не за горами софт, что будет предупреждать о канаве на дороге. Актуально в нашей стране особенно в весеннее время. Поэтому присутствие GSM в навигаторе в дальнейшем будет набирать актуальность."
,"А libelle кто то пробовал сюда ставить?"
,"хорошее устройство )) еще бы подробную инструкцию для чайников ! сутки потратил на настройку, а так твердая пятерочка"
,"Проверяйте качество сборки - в моем аппарате экран был плохо закреплен в корпусе, пришлось менять (покупал не здесь)! По поводу пробок сложилось впечатление, что у Яндекса дорожная ситуация полнее, в то время как у Навитела - карта пробок очень фрагментарна."
,"Все устраивает кроме одного, держит заряд всего 20 минут(( Купил другой аппарат"
4,"В целом - неплохой навигатор, с основными функциями справляется хорошо. Качество экрана - неплохое, хотя ожидал лучшего. Также не особо понравился Навителовский дизайн интерфейса и вид карты, но это вопросы к Навителу, а не к навигатору. Пока не удалось настроить GPRS, но сразу можно сказать, что встроенный браузек без возможности работы с закладками - уныл."
,"Купил, 3,5 тыр проехал, в том числе подгруженными картами по России, практически без замечаний. Потом ночевал в дороге, температура в салоне опустилась до +5C, работать перестал напрочь. Хлам. Потом прочёл в мануале = гарантия на аккум не распространяется при охдаждении до 0град. С ... Где теперь найти и заменить аккумулятор? Что за девайс Литий-Полимер? Чем можно заменить? Плз, допустимые варианты.??"
,"А можно на него Яндекс пробки поставить?"
4,"Купил, как навигатор - хороший прибор с хорошим разрешением. Работа с GPS\GPRS ужасная в настройках Как по мне лучше навигатор с блутузом и отдельно телефон (єто для отслеживания пробок)"
,"Удобно, что затягивает пробки без геморойного подключения через блютуз. Удовлетворён качеством полностью."
2,"Очень разочаровался(("
