,"В общем нет слов"
,"Достойное предложение за достойные деньги. Я очень доволен и рекомендую остальным."
5,"Все понравилось, работает быстро. Внушает надежнось. Карты достаточно детализированы. Красиво прорисованы."
,"Компактный, простой в пользовании. Приятный для рук материал. Работает быстро. Отличные карты."
,"Отличный вариант навигации. не дорого, просто и очень удобно, и практично"
,"Доступный по деньгам и качественный девайс. Хорошая комплектация и сборка. Карты тоже оч понравились, даже луше чем всем остальные. Дизайн строгий, в тачке сморится хорошо. Берите и не пожалеете!"
,"довольна. ве работает отлично. при покупке, думала, что долго буду разбераться-была притно удевлена. все просто элементарно :))"
,"Хорошая игрушка для тех кто люби простоту и компактность. Работать с ним очень просто шустренький не обманывает. Мне нравиться"
,"Четкий девайс:)) работает, как часы...все четко, быстро, без сбоев. В общем-то доволен=))"
,"Не могу не согласиться, навигатор действительно надежный и за прекрасную цену. Хороший размер и дизайн отлично вписывается в салон автомобиля."
,"Компактный и достаточно шустрый прибор. Спутники находит быстро, с этим проблем нет. Да и если честно - то очень выручает в пути, думаю что с такими скорос все ездить будут."
,"Прикольный аппаратец в плане компактности цены и качества навигации. Очень быстро находит спутники и местоположение показывает точно вне зависимости от программы навигацции. Вообщем приятный в работе."
,"Одна из самых бюджетных моделей. Качество неплохое: тут и корпус нормально собран и вроде работает нормально. Короче навигатор для навигации, а не для понтов. Работает навигация качественно, так что претензий к нему нет!"
,"В девайсе ставка на компактность сделана. Всё работает на уровне, и обзору ничего не мешает. Вообщем работает без глюков и приводит куда нужно. Может развлечь в свободное время в автомобиле если что, тут про это тоже не забыли!)"
,"Если нужен красивый и функциональный навик - эта модель идеально подойдет по всем параметрам."
,"Небольшой совсем, думалось сначала, что неудобно будет, но как говорится, подарки не обсуждаются. Оказалось наоборот, очень даже удобно, небольшой в глаза не бросается, а грамотные голосовые подсказки позволяют ехать не смотря на экран."
,"Даже с таким размером экрана, в туман или в плохую погоду уже меньше шансов заблудиться. Рекомендую к покупке."
4,"С каждым обновлением ПО ,понимаю, что люди всё-таки стараются.И прислушиваются к отзывам потребителей. Так что думаю это перспективный продукт тем более с бесплатными картами, которые тоже регулярно обновляются."
,"отличное соотношение цена-качество. Помимо основной функции GPS есть возможнось и фильмы просматривать и музыку слушать. Покупкой очень довольна. Рекомендую."
1,"Подарили недавно на ДР этот навигатор, сказать что была рада немогу,т.к. видела палманы ранее и качество сборки меня не радовало в них. Мой навиг не оказался исключением. Корпус скрипучий до ужаса. Включила его грузился минут 5. Часто виснет, на карте показывает одно а говорит совершенно другое. Но как говориться дареному коню в зубы не смотрят, езжу с ним."
,"Скажите пожалуйста, карта только Украины, или всех областей?"
4,"Очень компактен! Но удобен сказать - значит ничего не сказать - действительно класс!!! Респект производителю."
5,"Удобный и небольшой навигатор всегда выручит в пути. Если есть вопросы, всегда можно позвонить в их поддержку (круглосуточно)"
,"Хороший навигатор за свои деньги."
,"Цена.Качество изготовления. Дизайн. Быстро очень ловит спутник. Есть всё необходимое"
5,"модель супер за достойные деньги, брала именно в машину, на пару недель, выдержал все прокладки маршрута, на навителе работает шустро"
,"скажите пожалуйста фильм можно посмотреть?"
,"Мой Palmann работает нормально, нареканий нет"
,"Навигатор очень здоровский, просто потому что работает как положено, быстро, без багов, нет никаких проблем с маршрутами и картами, есть куча возможностей смотреть или слушать что-то в дороге - дорого, но мы рады что купили."
,"видео аудио читает?"
4,"Купил Palmann, пока все работает нормально."
,"Очень доволен приобретением, как слон! Очень удобно эксплуатировать в различных условиях! За довольно продолжительное время (около года) он меня ни разу не подвёл!!! Работает быстро. Всем советую"
,"Посоветовал друг модель как у него Palmann, могу спокойно заявить- отличный навик! у него уже больше года-корпус как новенький, ни разу не подвёл в дороге. Надеюсь мой окажется таким же добротным, пока всё гуд."
5,"Отличная модель и стоит своих денег. Экран (и размер, и читаемость, и яркость), Комплектация богатая и техническая начинка. Работает все четко, быстро и без сбоев."
5,"Покупал Palmann 43B. Хотелось недорогое, но &quot;фирменное&quot; устройство. Рад, что оно оказалось именно таким. 6 месяцев безупречной работы, более 7000 км с ним вместе. Работает безупречно."
