,"Скажіть, будь ласка, а чи показує пробки і варіанти як їх об&quot;їхати ? дякую"
,"Здравствуйте, есть такой вопрос! Смогу ли я сохранять точки на водоемах и какая точность моего местоположения?"
,"Если использовать только для навигации - идеальный вариант!"
,"Отличный навигатор с простым и понятным интерфейсом, экран тоже нормальный, цвета достаточно контрастные, глазам удобно с ним работать, если так можно выразиться. Поставил на всякий случай пару дополнительных программ навигации, если вдруг основная заблудиться. Но пока всё норм, работает как часики."
,"У мене погано працює блютуз на навігаторі. Я чую нормально, але мене взагалі не чутно - мабуть проблеми з мікрофоном. В когось були схожі проблеми?"
,"Не поганий, навігація працює стабільно, от правдо той прикол з тачскріном присутній, тобто коли натискаєш на нього то по центру дисплея плавають кольори, напевно щось там його здавлює) а так то нормальний"
,"Програмное обеспечение не прошло проверку на офсайте. Пришлось ставить пиратку. А сам навигатор довольно не плох."
,"Периодически исчезает звук. Обновить прошивку с сайта не удается. Обновить карты и версию навитела тоже невозможно. При соединении по блютуз невозможно набирать номера. Тринсмиттер вообще не работает. Карты очень поверхностные."
,"Попытался обновить карты, ключ лицензионный вшит в девайс, ничего не менял и... говорит что &quot;Лицензионный ключ не подходит&quot;"
,"в остальном аппарат неплохой"
,"Понравилось в принципе все. Держатель крепкий, надежный. Сама железяка работает четко, без сбоев. Карты хорошо детализированы"
,"Всем советую установить на этот навигатор Сити Гид 7,2."
,"Простой в использовании, быстрый в работе. Что еще нужно? Маршруты прокладывает быстро и в нужное место, я от него большего и не прошу."
,"При нажатии на экран в любом месте с любой силой, по центру экрана появляется волна. Это нормально?"
,"Подскажите можно ли закачать в навигатор карты и каким оброзом."
,"Гаджет на 100% меня устроил, особенно классно в нем то что работает безотказно, ведет и голосом, и так рисует дорогу, вообщем отличный прибор, особенно за свою цену! Есть несколько дополнительных фишек, но я в них пока особо не разбирался."
,"Стабильно работает и на холоде и при нормальной температуре, пользую всего месяц, но пока не подводил, по крайней мере по Одесской области водит неплохо, в кусты не заводил, да и пару фишек интересных помимо навигации имеет."
,"Кто нибудь уже обновлял этот аппарат на сайте навител, я имею введу ПО и карты? На сайте есть конкретно для него обновления?"
,"Мне в салон нормально встал, стоит недорого, по качеству вроде-бы неплох. Езжу с ним чуть больше недели, пока не сбоил и не тупил. Особенно порадовало то что помимо навигации на нем можно музычку послушать или книжку почитать. Иногда очень выручает в плане удобства."
,"Это мой первый нави, взял чисто лдя навигации и не ошибся. Навигация тут действительно хорошая, цена аппарата небольшая, есть кроме навигации еще несколько функций, но если честно ими не пользуюсь. А как рабочая лошадка аппарат классный."
,"кто нибудь пробовал подключть камеру заднего хода к этому девайсу?"
