,"ожидала лучшего, лучше брать небольшой планшет"
,"В принипе всё работает, но в режиме навигации смущает одна вещь. Иногда индикатор местоположения перепрыгивает на соседнюю дорогу и тогда навигатор начинает перестраивать автоматически маршрут. Это очень сбивает с толку, неудобно. Если бы исключить эту ошибку - было бы хорошо, а так это несколько раздражает."
,"Не понравилось неудобное управление. Резистивный экран это, конечно, не емкостной, как на смартфонах. Приходится иногда управлять стилусом, потому что пальцев слушается с трудом. Соответственно есть неудобства, связанные с этим."
,"Функциональные возможности обширные, но ничего толком не доведено до ума. Например, блютуз нормально работает только с моей старой нокией, а с новым смартфоном не работает. Видео проигрывается, но с притормаживаниями. Дорогу показывает правильно, но спутники иногда теряет. Вообщем не доработанная моделька, будем надеяться что выпустят новую прошивку, которая исправит глюки."
,"Хорошее разрешение экрана, но сам экран очень блеклый, пришлось докупать на рынке козырек на него. Дополнительный функционал есть, но работает либо с торможениями либо через раз. В принципе вещь полезная, но жутко неудобная."
,"Навигатор не самым лучшим образом показывает дорогу. Иногда мое местоположения &quot;перепрыгивает&quot; с одной дороги на другую (соседнюю). Из-за этого изменяется маршрут и не удобно пользоваться прибором. Это основная проблема аппарата, на мой взгляд."
,"Мне понравился,спутники ловит быстро,в принципе все что пишут в коментах правдиво."
,"на сильном солнце &quot;слепнет&quot;. экран для своих денег не плохой, но вот чувствительность к нажатию - туго. стилус - не пришей кобыле хвост, куда его прятать? в корпусе нет штатного места, ну дырки короче :)"
,"Очень удачная модель. Прибор выглядит достойно и сделан качественно. Моментальный прием спутников, четкий на отклик экран. Хорошо отрабатывает блики в солнечную погоду. У меня лицензия содружество установлена"
,"Покупался в подарок отцу. Отец доволен ))"
,"Остался доволен от использования. Рекомендую."
,"А что означает&quot; Карты в комплекте: Навител Украина + Россия (доустанавливается самостоятельно)&quot; это надо самому скачать с интернета и установить????"
,"А где на нем включить блутуз? В описание есть, а так нету(("
,"Яндекс-карты кто-то ставил?"
5,"Спасибо розетке за качество приятного шопинга."
,"расскажите пожалуйста как работает шинный манометр? а то среди 27 комментариев никто этим не интересуется)"
