,"Добрый день, подскажите как обстоят дела с обновлением карт?"
,"Скоро появятся интегрированные автомобильные устройства с широчайшим набором функций. Например, на выставке CES 2017 в Лас-Вегасе компания Honda презентовала собственную платежную систему, которая позволит водителю платить за топливо и парковку с помощью бортового мультимедийного устройства. Ниже видео для ознакомления с инновацией в Штатах."
,"Здравствуйте, есть такой вопрос! Смогу ли я сохранять точки на водоемах и какая точность моего местоположения?"
,"Размер как раз подходит для легкового автомобиля. И не мелкий, и компактный. В управлении прост, симпатичный. Чувствуешь себя на дорогах уверенней. Можно фильмы закачивать, фото, музыку. Звук хороший и можно к колонкам присоединять."
,"Підскажіть буль ласка як обновити карти? пише що вони застарілі, я скачала з сайтуі їх обновила а воно далі теж саме......незнаю що робити"
,"Підкажіть як встановити карти Європи, оскільки є тільки Україна?!"
,"подскажите можно ли переставить карты что бы он был для грузовых авто?"
,"можете подказать какой навигатор может подоити для грузового транспорта"
,"После написания первого отзыва, я таки решился поехать с данным навигатором в Болгарию. Ну и &quot;повозил&quot; он меня, скажу я Вам. Карты действительно допотопные, особенно это видно по Румынии. Показывает прямую дорогу, а там уже или развилка или кольцо или тупик. Все время хотел меня свести с автострады в какие то кусты на грунтовку, хотя установка &quot;миновать грунтовку&quot; стояла. Два раза жестоко заблудился, 1 в Черновицкой области, привел меня на КПП, который закрылся еще в 2010-м году. В результате лишних 100км по ужасно дороге. В Румыннии водил меня кругами... Результат +250км... Единственное, что можно хорошего сказать о даном девайсе - вместо умершего проекта Libelle легко установилась последняя версия Навител с самыми новыми картами."
2,"Купил еще в 2013-м году этот навигатор. Так вроде все неплохо, если не считать их карты, которые не обновляются. Обновлял в последний раз еще в прошлом году с их сайта, навигатором длительное время не пользовался. Сегодня нужно ехать в Болгарию, навигатор ругается что карты критически устарели. Скачал с офф сайта, а они от того же 07.2015, что и у меня уже стоит в девайсе... Я на всякий пожарный случай заменил карты, вдруг (а чего не бывает) решит в проблему с &quot;критически устарели&quot;, но нет. Год карты не выходили, на навигаторе, который продается! Это ж появляются односторонние, ставят кирпичи, строят дороги, за месяц сколько всего помнятся может!"
3,"Все було б добре якби не сенсор, при користуванні складається враження ніби тиснеш в рукавицях."
,"В этом навигаторе есть карты для грузовых машин? Если нет, то можно ли их скачать?"
,"купил навигатор, кроме карт украины ничего нет. в инструкции написано что нужно скачать с сайта. скачал, установил - выбивает ошибку что карты устарели и никаких адресов не находит. помогите настроить карты или легче его вернуть!"
,"А по Європі з ним їздити можна?"
,"На карте от объектов тянет тонкую горизонтальную полосу тем же цветом что и объект. Возможно ли устранение данного дефекта вручную(например перепошить устройство)"
,"Можна ли сюда поставить яндекс карты?"
,"нужен безотказный навигатор для езды по Европе, посоветуйте пожал-ста. На грузовом авто авто."
3,"Своих денег стоит, спутники ловит быстро и стабильно, карты (для крупных городов) достойные (подсказывает правильную полосу для поворота, все переулки и т.п. есть). Из недостатков: - Экран мягко говоря не очень, но в принципе водителю все видно (и слышно :)). - Скроллить по карте для того чтобы вручную отметить точку, то еще мучение - тормозит жуть :( ... (но при этом поиск адреса/POI/координат летает). - Карты не везде подробные (в том же Овидиополе, например не знает что есть ул. Береговая, не подозревает о съезде с киевской трассы к дачному поселку за мостом через хаджибейский лиман) Достоинства: В коробке весь комплект : кабель, крепление с присоской (держится хорошо), зарядка от прикуривателя. Там где есть подробная карта, показывает полосы, предупреждает об ограничении скорости. Громкий динамик."
,"приобрёл этот навигатор, при входе в навигацию пишет что срок использования пробной версии закончен. что делать не подскажете?"
5,"Как настроить голосовую помощь или она будет появляться сама при движении?"
