,"неплохой компактный..."
3,"Не могу категорично рекомендовать товар"
,"Отлично подходит тем, кому важна стабильная навигация. И есть вопрос: какой максимальный объем флэшки поддерживает?"
5,"Как включить озвучку на картах Libelle&"
5,"Отличный навигатор,даже в лесу находит спутники."
,"скажіть за пробки чи дана модель показуе?"
4,"Показывает ли он пробки и предлагает ли пути объезда?"
,"Такой вопрос: оперативной памяти 128 мб или 64 мб?"
5,"Карты Libelle - пусть меня простят разработчики, но карты просто кошмар. Ждал подтверждения 4!!!!!! (четыре) дня. Получил, установил, обновил карты и ..... - ничего. Европа как не работала так и не работает - просто не видит карт, Украина начала постоянно глючить. Скачал другое ПО для навигатора и (кто бы мог подумать) все работает четко. Сам навигатор рекомендую. ПО Libelle НЕТ!!!!"
,"Подскажите пожалуйста, кто пользуется даным навигатором, как видно когда солнце яркое, хорошо ли экран видно, не отсвечивает?"
,"А как узнать какого года навигатор и какого года карты установлены"
,"Простите за тупой вопрос - навигатор можно снять с машины и пойти с ним в город, если необходимо? Спасибо."
,"есть ли в нем телевизор"
4,"я искала навигатор именно с по libelle. это отличная операционка, намного лучше навлюкс. по отзывам выбрала этот. дорогу показывает нормально но, я не пойму как включить голосовое сопровождение. может кто-нибудь подскажет?"
,"Здравствуйте. У меня умер спидометр. Можно ли это навигатор использовать как спидометр?"
,"Отличный корпус, качественная работа, точные карты. Чего еще надо? Я более чем удовлетворен."
,"Более, чем устроил. Навигатор отличный. Дизайн корпуса тонкий и стильный, карты понятные, голосовые подсказки есть, да и вообще кучу всего есть. Короче рекомендую Вам обратить внимание на этот навик."
,"Огромное спасибо"
,"Навигатор нормальный. Классное крепление! Из минусов - слабоватая громкость динамика, нужен либо усилитель, либо наушник. Еще один минус - при воспроизведении видео картинка не на весь экран."
,"Классный навигатор. Понравились карты Libelle. Очень подробные и с бесплатными обновлениями. Корпус выполнен качественно и стильно."
,"Лучшего аппарата за такие деньги не встречал ещё. Карты обновляются бесплатно. Хорошая ергономика и надёжное крепление."
,"Аппаратик очень в целом понравился. Карты ведут отлично, всё подробно и понятно показывают. Батарейка хорошо держит и крепление классное."
,"Классный стильный аппаратик, купил пару дней как. Карты оч понравились. Качество сборки тож ничё. За свои деньги лучше не найти!"
,"Отличный девайс. Пользоваться легко и приятно. Купил себе перед отпуском. За бугром полёт нормальный. Ещё плеер подарили. В общем - доволен."
4,"За свої гроші хороший апарат."
,"Удобный, компактный, фунциональный. Считаю, что мои затраты абсолютно оправданы"
,"устаревшая модель"
,"Олтичные и карты и сам навик. Доволен всем"
,"Хорош навигатор... Прост и удобен."
,"Прикольный аппарат и по стилю и по картам и по работе вообще. Все что нужно есть в нем, работает не хуже здоровых приборов. А сам он компактный и недорогой. Это и стало определяющим фактором при покупке. Сейчас очень доволен, проблем с ним нет."
,"Функционален, компактен, окуратный дизайн, приятная, приемлемая цена."
,"Простий в користуванні.Нормальна ціна,я задовалений!"
,"Нави что надо. Во-первых он по дизайну отлично сделан, мне понравилось что он тоньше остальных. Во-вторых прикольно то что дорогу он знает отлично, карты уже в комплекте идут, причем достаточно подробные. Годная модель, однозначно!"
,"Относительно остальных корпус тоньше, выглядит более стильно взяла его. Не скрываю что именно из-за внешнего вида брала. Но потом, когда в нем разобралась, оказалось что там и функционал достаточно неплохой, карты в комплекте подробные. Вообщем полный фарш для такого &quot;малыша&quot;."
,"Тонкий, стильный и в управлении удобный. Дорогу показывает, а мне от него больше ничего и не нужно. Дорогу показывает хорошо и это главное!"
,"Підскажіть, як користуватись картами світу, де їх закачати, адже навігатор бачить тільки карти України, а мені потрібно по ньому в Європу добратиь...."
,"У меня такой уже месяц, пока с ним не было никаких приколов, работает четко и стабильно, в салоне много места не занимает и не мешает обзору. Навигация хороша, а мне и не нужно от него большего!"
,"Удобный в использовании. Компактный и стильный. В пути не всегда получается на экран смотреть, зато голосовые подсказки тут четкие, и включаются вовремя, так что поворот не проедешь!))"
,"можно слушать музыку и читает он"
,"можно ли слушать музыку и просматривать фотографии?"
,"Простой в управлении, я с ним разобралась буквально за 5-10 минут. Быстро обнаружила спутники и сразу же с ним поехала. Пока работает как надо, проблем с ним небыло, пока две недели использую его."
,"Хороший, функциональный навигатор, кроме карт есть еще несколько интересных функций. Да и крепление порадовало, прочно и без проблем держит."
,"Больше всего понравилась, конечно цена!) А если серьезно - то очень дельный гаджет! Всегда проведет куда нужно, еще и голосом подскажет + музычку послушать можно! Кул!"
,"Отличный девайс, а главное недорогой, радует что навигаторы становятся частью повседневной жизни, а не диковинкой, в том числе и благодаря этой бюджетной модельке!"
,"Хорошая навигация, карты действительно подробные, видно каждый супермаркет и банкомат практически! Да и маршруты прокладывает нормальные. У меня претензий нет!"
,"Отличный вариант простой и дешевой навигации. Дороги знает и без проблем показывает их. Корпус прочный и цельный, проблем с ним нет!"
,"Супер приборчик!!! Водит и по городу, и по области меня уже несколько дней, так к нему привык, что теперь не расстанусь, воистину незаменимая вещь в наше время. Особенно понравились карты в комплекте. На них пок никаких неточностей не обнаружил."
5,"Я обладатель этого девайса уже с неделю. Особых проблем с тем чтобы разобраться что к чему не возникло, да и саппорт у них на уровне. Но больше всего понравилась навигация: простая, быстрая и что немаловажно качественная, приводит по нзначению всегда!"
,"Если бы кому на подарок нужно было нави подарить, то однозначно подарил бы его. Просто сам пользуюсь, и всегда только плюсы нахожу. Отменный навигатор."
5,"Много было сказано хорошего, могу только присоедениться."
5,"Непогана річ. Ненавязливий голос майже вчасно про все попереджає. Видимість добра навіть на сонці. Карти прописані доволі грамотно. Меню девайсу і ПЗ майже одразу зрозуміле і доступне для швидкого управління. Кріплення досить комфортне. Трохи короткий шнур живлення для машин з широкою передньою панеллю - від скла до прикурювача далекувато і натягується сильно, а це розбалансовує гніздо входу ЮСБ. Матеріали виконання якісні - скрипів нема."
5,"Во дизайн забульбенили, сразу выбрал. По работе показал себя только с хорошей стороны, негатива как такого не заметил, кроме как карт на укр.языке, но это обещали исправить уже в скором релизе."
