,"Навігатор із картами Libelle просто жаш, нікому не рекомендую такі навігатори з цими картами."
,"А подходит он для грузовых автомобилей?"
,"Здравствуйте, есть такой вопрос! Смогу ли я сохранять точки на водоемах и какая точность моего местоположения?"
4,"Навигатор приобретен в марте 2016г. для поездки в Киев. Карты, установленные в навигаторе, датированы 2008г. Сделал обновление через официальный сайт Libelle. На этом же сайте можно найти подробную инструкцию по использованию ПО Libelle, в комплекте навигатора хорошей инструкции нет. При следовании по проложенному маршруту хорошо работают голосовые подсказки. При прохождении через пересечения магистралей ( перекрестки ) может временно на несколько секунд дать сбой маршрута либо указать альтернативное направление. В целом навигатор хороший и стоит своей цены."
5,"Удобный в использовании"
5,"Есть блютуз, есть навигация, причем очень даже неплохая. Карты предустановлены, морочиться не надо. Включил - поймал спутники - поехал."
,"Мне понравился: карты хорошие, по блютузу с телефоном соединяется, можно звонки принимать прям на навигаторе. Много всяких дополнительных функций, но для меня главное навигация и удобство за рулем, и этот прибор мне это обеспечивает на 100%. Если бы еще и машину за меня водил - вообще б цены ему не было бы."
,"Мне понравилось, навигация точная и простая в управлении. На касания навигатор реагирует нормально, можно удобно прокладывать маршруты по стране. По блютузу синхронизировал с телефоном, теперь если в пути кто-то позвонит, то я могу с навигатора ответить, а телефон не трогать. Есть еще масса функций, я не все использую, потому что много функций у меня есть и в смартфоне. Но для навигации этот навигатор намного лучше чем любой смартфон или планшет. Спутники ловит очень быстро и всегда показывает точное местоположения."
1,"дуже глючний переплатіть і візьміть, щось краще(("
,"Довольно не плохой вариант для навигации. Работает отлично, четко, быстро. Приятная цветность экранчика. Карты хорошо прорисованы, детализированы"
,"В догонку к первому отзыву: опробовал я этот навигатор в &quot;бою&quot;... :( по маршруту: Львов-Киев-Великая Круча-Красноград-Запорожье-Энергодар-Запорожье-Светлодарск-Харьков-Кировоград-Житомир-Львов. так вот! хорошо, что ехал уже давно протоптанной дорожкой, не то заехал бы с его помощью кто знает куда! как я понимаю - ПРОГРАММНОЕ обеспечение не просто глюкавое, а никуда не годное!!! из круговых развязок на ОДНОЙ был указан правильный съезд! в общем, если Вы хорошо знаете, дорогу - можете спокойно брать этот навигатор!!!"
,"Очень полезная штуковина! сделан хорошо! брался в первую очередь для ночной езды (видеть профиль дороги) - помогает на все 100! однако первая поездка показала множественные ошибки в озвучке и прокладке маршрутов :( но, возможно, поможет обновление ПО и карт. звуковое сопровождение можно сделать более &quot;назойливым&quot;... формирование маршрутов не удобно, но дело привычки. в целом гаджет для меня полезный и нравится!"
,"Перестала запускаться навигация. Все остальное работает, в том числе спидометр с координатами. А когда нажимаю на окошко навигации девайс тупо зависает. Кто-нибуть в курсе, что это такое?"
5,"Брал тестю на подарок - попросил передать что аппарат толковый и не сложный для любого человека. Даже сам смог обновить программу и карты, правда с помощью производителя. Так что советую!"
5,"Классная штука, отличный выбор цена/качество. Собран на совесть, работает шустро! Очень доволен выбором!"
,"как включить навигацию?"
,"Каким образом обновить версию?"
,"Моделька очень симпатишная. Шустро и точно работает. Порадовал подарошный плеер, теперь я меломан:) Кроме всего сразу карты мира есть, а мы как раз с женой в отпуск собрались."
,"Игрушка очень удобная при использовании в дорожнем движении все направления и названия улиц показывает верно. Минусов в этом гаджете я не нашол, одни только плюсы"
,"Игрушка класная всё нравится, что разработчики в неё втулили. Просто не знаю кому может не понравится этот девайс"
,"Отличный навик, все работает на ура, траблов пока с ним не встречал. Хорошее исполнение корпуса, достаточно высокое качество материала. Картами даволен так же. Все четко и быстро без затупов"
,"А 3D режим карты в нем нормально работает? По Италии с ним никто не ездил?"
,"Стабильно работает на протяжении 2-х месяцев. Накатал с ним по стране где-то 1500 км, брал как раз когда на работе коммандировки начинались. Могу сказать что в городах или на трассах ориентирует отлично. Показывает даже банкоматы, СТО, заправки, магазины, вообщим все что может понадобится в пути."
,"Как зайти в Libelle на Tenex? Не в функцию навигации не в пути зайти не могу? Ключ ести, только что с ним делать? Инструкции не очень..."
,"Хороший, простой в управлении, да и по цене недорогой. Очень понравился прием сигнала от спутников, навик быстро их находит, даже не приходится его ждать, находит за минуту."
,"Что входит в комплект к навигатору?"
,"Нормальный гаджет, особенно, если учесть что навигационная программа уже идет в комплекте, и кстати на этом девайсе работает даже быстрее навитела, так что оставил её, претензий по Украине нет, практически все закоулочки знает, не говоря уже о больших улицах."
,"Бодро работает, 128 Мб оперативы дают о себе знать, кроме самой навигации масса функционала в плане видео, фото, музыки, фм-передатчика. Короче за такие деньги как раз то что нужно!"
,"Достойная похвалы система! Всё работает слажено, карты Украины - так вообще улёт. Короче мне уже месяц прокладывает дорогу куда нужно. И голосом подсказывает куда ехать."
5,"классный советую"
5,"Посоветую всем! классный gps!"
,"А як з картами євросоюзу?Прокладе маршрут з Греції(Болгарія,Руминія)до Львова?"
,"Вообщем был у меня такой нави, потом немного неудачно уронаил его на пол, потек экран, сдал в сервис, вдруг прокатит, так мне через неделю не то что экран починили или поменяли, а вообще заменили аппарат на новый. Это сервис номер один!, для меня по крайней мере точно. Вот так."
5,"Если бы не этот навигатор, не писать бы мне сейчас отзыв. Спасибо тебе дорогой."
,"Можно ли к нему подключить камеру заднего вида?"
5,"Дабы не быть многословным скажу только что продукт получился достойный."
5,"Меня как человека знающего навигаторы (торговал одно время) удовлетворил по всем критериям, и оснащенность, и качество исполнения, и сама навигационная прога - все держится высокой планки. Безпроблемный."
4,"Понравилось исполнение меню, да и сама навигация работает отлично."
5,"Очень уверен в себе когда едешь в паре с этим штурманом. Хорошо сделано голосовое оформление. Кстати по львову вообще даже про каждое здание что то может написать, если на пиктограммку нажать. - прикольно."
5,"Маленький , эргономичный.Быстро реагирует на прикосновения.Практически за столь символичную сумму , получаешь себе в машину бортовой компьютер со всеми радостями. И фильмы, и фото, и радио, и музыка.Супер!"
