,"Здравствуйте. Как обновить карти?"
,"Здравствуйте, есть такой вопрос! Смогу ли я сохранять точки на водоемах и какая точность моего местоположения?"
4,"Можно ли обновлять карту по блютузу со смартфона от мобильного интернета???"
,"Можно ли его использовать как видеовыход для камеры заднего вида в автомобиле?"
,"замовила цей товар, не можу ним скористуватись спутніки нелове і немає меню налаштування, тільки налаштування мова і все , що з ним робити?"
4,"если нет денег больше, берите. Деньги на ветер не выбросите))"
,"Поддерживается ли hands free ?"
,"як його налаштувати ? Можна скачати якусь інтрукцію?"
5,"Покупали год назад на розетке в подарок парню - теперь не разлучается с навигатором ни на день) Хорошее качество, удобный в дороге, улицы и обьекты видит все, есть поиск по координатам с высокой точностью. Радует большой дисплей и дизайн. НО невозможно пользоватся несколькими функциями одновмеренно - или навигация или фотки/музыка вот-такто. Не разобрались как подключить телефон по блютусу (требует вроде мобильного интернета). А в целом лучшего варианта за доступную цену не найти."
3,"Карты Libelle отстой пришлось поставить IGo 8"
4,"В основном нареканий не вызывал, поморочился только вначале, когда спутники искал"
,"Всем доволен, но вот задняя панель быстро царапается . Часто снимаю его и ношу с собой, за месяц использования появились внушительные царапины."
,"можно ли под заказ сразу с картой Европы. Ну лишняя же возня, скачивать, устанавливать и т.д. Если бы не это - купили бы сразу. И вопрос по языковой поддержке: нужен английский и голландский"
4,"За свою цену нормальный навигатор"
,"Купил неделю назад. В наличие только Украина ( и то с устаревшими картами, обновить не получается) Карт мира нет !!! Инструкции к самому навигатору в комплекте не было !!"
5,"Годный аппарат и карты нормальные уже установлены. Никакого головняка, всё работает нормально сразу из коробки, ничего шаманить больше не надо. Покупкой доволен, дорогу показывае и рассказывает правильно."
5,"Показывает дорогу куда нужно, быстро прокладывает маршрут, ведет и голосом и по карте. Держиться на стекле крепко, есть пару полезных дополнительных функций. Вообщем прибор что надо!"
5,"Корпус с металической вставкой выглядит очень солидно, карты выполнены на высоком уровне, на сайте карт есть все инструкции. Если захотеть, то с навигатором можно разобваться за пару часов (вообще со всеми функциями) и это включая установку в автомобиль и поиск спутников. В первый раз спутники искал минут 5 (холодный старт). Потом из машины за полминуты всё находит. Вещь очень полезная!"
5,"Разрешение дисплея - на высоте, диагональ как раз такая, что всё видно и обзору не мешает. В ланосе поставил его по сентру ветрового стекла, ближе к низу и просто повернуть экран на себя. Как по мне, наилучшее место. По-поводу карт проблем нет, они подробные, с номерами домов и даже есть дома, которые с буквами."
5,"Притный на вид, на ощупь, приятный в управлении и использовании. Голосовые подсказки на месте, да и вовремя появляются. Общее впечатление от аппарата - отличное. Конечно, хотелось бы чтобы батарея держаа чуть дольше, чтобы использовать его и вне автомобиля как туристический, в остальном вопросов нет."
5,"Дисплей нормальный и сама навигация точная. В первый раз нашел меня на карте за 5 минут, потом вообще до минуты ищет, мое местоположения показывает и уже от него я могу построить маршрут куда надо. Еще порадовало, что карты других стран я теперь могу бесплатно с их офсайта качать."
5,"Классный экран, классная навигация, стильный и прочный корпус, всё на высшем уровне, цену свою оправдывает."
5,"Вещь Достойная при той цене!!!!!"
