,"как пользоваться FM-трансмиттером?"
4,"Водит хорошо,думает быстро,присоска отличная на лобовое. могу советовать к покупке! О! чуть не забыл,поклейте защитную плёнку на экран! царапается от ногтей очень быстро!"
,"Виходить ,що це планшет і туди можна встановити будь яку навігаційну систему?! Так я розумію?"
,"Очень доволен покупкой. Берите он своих денег стоит."
,"Можно ли установить программу IGO?"
5,"Столкнулся с проблемой прослушивания музыки, и видео на устройстве. Звук с навигатора и при настройке громкости самого устройства идет, работает. А вот видео с ютуба, приложений, и музыки нет. Это брак или такая настройка? как это исправить?"
,"Возможна ли загркзка карт Шуберта с привязкой оззи"
4,"Купила сегодня этот навигатор на подарок мужу. Гаджет практически то же самое что планшет но без снимки. Для такой цены можно было бы поставить нормальное стекло. Когда проводишь по стеклу пальцем ощущается его шершавость, это не страшно, а вот блики более существенный недостаток. Хотя меню достаточно красочное, но пока не известно какой будет картинка непосредственно при работе Навитела. Кстати, Навител должен быть на английском языке или там есть настройки языка? В принципе гаджет с андроидом радует своей функциональностью. При включении дома спутников не нашёл. Надеюсь что всё заработает во время эксплуатации в машине."
,"добрый денькупил пару дней назад easygo a505,заявленный разьем для наушников 3,5 мм не соответствует действительности,подскажите там настоящий,и можно ли купить переходник на 3,5 мм?"
,"А я могу с плей маркета скачать яндекс карты , и пользоваться ими??"
5,"К нему можно камеру заднего вида подключать??"
,"Приятно удивило наличие блютуз."
5,"Купил на днях данный навигатор. Покупал здесь, на Розетке. Пока рано ещё говорить о минусах, но некоторые плюсы уже заметны. 1. Операционная система Андроид. После планшета/телефона (которые также на этой ОС) долго привыкать не нужно. Всё просто и понятно. 2. Производительность. Очень быстро реагирует на (действия) касания. #мояраспаковка"
,"Здравствуйте, есть такой вопрос! Смогу ли я сохранять точки на водоемах и какая точность моего местоположения?"
,"Здравствуйте. А где можно скачать карты Европы?"
,"Купила месяц назад, дома, рядом с wi-fi, включился и спутники нашел нормально. А в дороге еще ни разу не нашел спутники. Пока - полное разочарование."
,"Здравствуйте! Возможно ли установить карты Европы? И как это сделать"
,"Добрый день. Хватает ли слабого аккумулятора 1100 ма для работы с данным навигатором? Возможно ли приобрести в Розетке и установить в навигатор вторую навигационную программу НАВЛЮКС, не удаляя НАВИТЕЛ?"
,"Какой срок действия лицензии карты Navitel установленной на данном gps навигаторе?"
,"Вопрос- в него можно закачать карту Европы? Как это сделать?"
4,"Навигатор хороший в общем-то. Всегда видит от 8 до 10 спутников. Многофункциональный, можно смотреть видео, фото и всё остальное, как в смартфоне на андроиде. Правда фм трансмитер работает с перебоями, поэтому им практически не пользуюсь. Сам же Новител работает без интернета, ведёт чётко, но база по номерации домов (Киев) НИКАКУЩАЯ! Так что в основном, установил и пользуюсь Яндекс навигатором - работает без проблем, при подключённом интернете отображает пробки. Крепление к стеклу удобное и прочное. Телефонную книгу синхронизировать нельзя. Режим hands-free отсутствует. Диагональ оптимальная, видно хорошо."
,"Вопрос: SIM-карту есть куда вставлять?"
,"Хоть чувствительность пониже чем у моего смартфона, но в дождливый день, когда все небо было затянуто облаками - видел 8-10 спутников, хороший результат. Претензий пока нет. По-поводу косяка с активацией описанной Василь. Достаточно чтобы вайфай был все время включен(даже когда интернета нет), и тогда эта проблема возникать не будет. Вот такой вот странный баг у Навитела, да."
4,"Синхронизируется ли телефонная книга со смартфона с этим навигатором?"
4,"Могу ли я данную карту обновлять просто через интернет?"
,"Доброго дня! Можу я до цього навігатора підключити камеру заднього виду?"
5,"Навигатор с программным обеспечением от компании “Навител”, которая уже давно работает на этом рынке. Устройство работает довольно-таки шустро, быстро формирует маршрут. Из достоинств можно выделить хорошее качество сборки, видно, что аппарат прочный. При эксплуатации ничего не поскрипывает, не попискивает. Хочу отметить отличные карты с хорошей детализацией даже просёлочных дорог. Также использую навигатор как видеопроигрыватель и иногда, в дороге, смотрю на нем фильмы. Крепление удобное, надежное."
,"Покупал по техническим параметрам, не обратив внимание на поисковик Новател. На следующий день потребовало зарегистрировать Новател, номер регистрации прилагается, но при вводе никакой регистрации, короче об этом давно на сайте новател в форуме описано, но до сих пор никто не ответил. Поэтому раз у всех проблема с регистрацией а компания ничего не делает. Поэтому сейчас питаюсь установить IGO 8. Сам аппарат хороший, мгновенно подключается к интернету, работает без тормозов. Установлю игры тогда напишу что на нем идет. Но все больше возникает вопрос а не лучше ли было купить планшет?! Тем кто хочет им пользоваться как навигатором, хочу предупредить что мои проверки на дороге показали неточности поворотов где то в 50 метров. То есть повернул на другую улицу, а навигатор показывает движение прямо. У меня НЕК 354, пользуюсь около десяти лет. Так на нем когда машиной поворачиваешь, то и поворячивает и карта. А при поездках по лесу, полоса при возврате ложится точно на полосу поездки туда. Здесь же большой разброс, то ли Навител так работает, то ли что то с GPS приемником. Обидно что купил друзьям и теперь вот не знаю, то ли возвращать, то ли питаться установить IGO 8, который на отрез отказывается запускаться. Если не хотите заморочек, покупайте что то другое где стоит IGO 8."
5,"Купил недавно этот навигатор, долго выбирал между андроидом и без него, все таки есть пару плюсов в плане установки дополнительных приложений, плюс встроенный вайфай позволяет быть постоянно в сети (раздаю с телефона интернет) и просматривать те же самые пробки. Отдельно хочу отметить качество корпуса, приятный на ощущение, покрытие &quot;софт тач&quot;, не оставляет жирных пятен. Рекомендую, отличный аппарат"
,"Какой емкости встроенный аккумулятор?"
,"Когда будет в продаже?"
,"Какой максимальный объем у карты памяти может быть, что бы он её &quot;увидел&quot; без проблем?"
