,"Брала на подарок брату"
,"Соотношение цена качество на уровне"
,"Хорошая машинка за такие деньги. Нареканий нет. Карты установил легко через нет - Россия +Украина. Машинка в принципе для продвинутых пользователей, кто хочет расширить настройки."
,"Удобный в использовании. Компактный и стильный. В пути не всегда получается на экран смотреть, зато голосовые подсказки тут четкие, и включаются вовремя, так что поворот не проедешь!))"
,"Какая установлена версия Навител?"
,"Здравствуйте, долго мучился с выбором навигатора, смотрел кучу обзоров и все таки решил купить именно эту модель. Очень понравился дизайн, большой качественный экран (с поддержкой хорошего разрешения 800х480 на котором все отлично читается), очень крепка сборка, отлично ловит спутники, не глючит, благодаря процессору MTK очень шустро работает, при смене пути новый путь прокладывает быстро. Вообщем пользуюсь уже 1 месяц и никаких нареканий на счет этой модели нету. Советую брать"
,"Подскажите,к ПО Навител с навигатором идёт лицензионный ключ.Можно ли в него устанавливать карты с официального сайта Навител?"
,"Каковы его размеры?"
5,"Работает уже 3 года - пока все отлично. Даже не смотря на незначительные недостатки РЕКОМЕНДУЮ Розетке отдельное спасибо за сервис"
,"Навигатор отличный,работает чётко,подключил к нему камеру заднего вида,работает нормально,катался Донецк-Киев,Обнинск-Донецк,довольно сносно работает,только карты Россия Украина переключаешь вручную,доволен,оценка 5"
2,"устройство работает более менее быстро, но карты Навител (которые поменять официально невозможно) просто ужасные, доехать по ним никуда не возможно, даже дома и дороги построенные 3-5 лет назад на них отсутствуют. По сути с Навителом это игрушка по которой можно доехать только если и так знаешь дорогу."
3,"Середнячковий навігатор:"
,"а он заранее оповещает о повороте???"
,"Зарядка от прикуривателя хоть есть в комплекте? ROZETKA:Добрый день! Да, это указано в описании."
1,"Навител лажовый конечно. Столько стоит лицензия и такое откровенное г... Либель и Ситигид однозначно лучше, при чем первый намного дешевле."
5,"Теперь заблудиться просто невозможно!"
,"Я навигатором доволен. Брал не в розетке. Что касается зарядки, то от USB порта компа или сетевого адаптера - до полной зарядки примерно 3-3.5 часа, хватает для работы от аккумулятора на 2.5 часа. Брал его и из-за AV-входа. Работает четко - при появлении сигнала на входе автоматически переходит в режим монитора, при этом если был включен режим навигации, то все комментарии механической Иры продолжают идти через динамик навигатора. Проверил - фильмы и музыку крутит без проблем, надо только фильмы &quot;поджимать&quot; до нужного размера и битрейта. За образец оного взял то видео, что лежало в корне внутренней памяти аппарата как рекламные ролики. Экран не глянцевый, так что не особо бликует. Навител у меня лицензия 3.5, работа радует, карты - сентябрь 2011. Мой город отрисован весь четко."
,"Блин, почитал комментарии, аж обидно, данный девайс, купленный мной в обычном магазине, по такой же цене ваще не работает, то есть блютуз действительно как из Жо..., абонент слышит только свое эхо, а не меня, как навигатор глючит и постоянно теряется, стоит Навител 3.5 и это в немальньком городишке - Донецк, направляет в поворот там где его в помине не было, слабо перестраивает маршрут, при этом все время так и наровит увести кудато в сторону. Звук в конце слов обрывается, аккумулятор заряжаешь час четыре до полно зарядки приэтом садится в режиме навигатора в течение получаса, в режиме видео и аудио в течение 50-60 минут. При подключении к компу не всегда распознается последним. Короче кроме внешнего презентабельного вида аж ничего - полная лажа, поеду сдавать."
,"Покупал этот навигатор в 2010 году, тогда в комплекте были карты igo 8. Это я так понял, уже обновленная модель, и карт igo 8 в ней нет?"
,"Это уже принципиально новая модель 2012 года. Встроенной памяти 2Гб. Оперативной 128Мб. Есть блютуз с выходом в интернет. Процессор ATLAS 500MHz. Высокое разрешение дисплея: HD 800*480. Автоматический видеовход + длинный кабель с питанием в комплекте. Навител в комплекте, карты памяти тянет до 32Гб."
,"Купил его неделю назад. Покупал именно его так как много функций - но пока еще не пользовался ими особо - так только протестировал. Все работоспособно. Купил правда этот навигатор в другом инет магазине на 100грн дешевле. Ездили по нему по маршруту Винница - Евпатория и обратно, с заездом в Херсон. В комплекте 3 программы Айго, граф (бесполезный), навител. Ай го провел отлично по всему маршруту, только в Евпатории для выезда из города он нас завел в пешеходную зону и тупик (хорошо небыло стражей порядка), включили навител и тот без проблем вывел. В целом мне понравилась очень полезная штука для водителя, а вот нужны ли навороты все эти даже не знаю. А если не нужны то смело можно брать мене чем 5 дюймов. все ИМХО"
5,"Купил себе. Как навигатор-бесподобно. Блютуз - нолрмально. Интернет через блютуз работает хорошо, не так удобно как на ПК, но не сравнить с мобильником. Фм модулятор сперва не работал, но потом соизволил почитать инструкцию и подключил к прикуриватель - нормальное качество звучания, но мне он не нужен впринципе. Вот думаю как автовидеовход пристроить под хозяйственные нужды. Вцелом доволен, что не взял какойто китай, которым завалено всё."
4,"Приобрел, EasyGO 550b очень понравился, шустренько работает, мазику, видео, читает отлично, в хорошем качестве. Даже и не ожидал. Минус в том, что карты, что в комплекте очень маленькие, и почему их три штуки, лучше б одна и нормальная, а не демо-версии. И флешка моё мнение 2.ГГ. маловата. Ведь хорошая карта весит около 2.ГГ."
,"+ Как навигатор работает нормально, достаточно шустрый не тупит. - Плохой микрофон, слышно как из Жо... так что как handsfree абсолютно не юзабельно. - вэб браузинг не удобный, клавиатука уж слишком мелкая да и разрешение экрана не позволяет нормально просматривать страницы. В общем Блютуз в этом навигаторе явно лишний, его никак не используешь. - высокочастотный шум в ФМ-трансмиторе, музыку нормально не послушаеш, уж очень раздражает. причем что интересно если использовать в качестве навигационной системы IGO то фон становится просто невыносимым. Вывод: девайс можно использовать исключительно как навигатор, все остальные функции, так маркетинговые фишки которые толком не работают."
,"Мне понравился очень. Теперь без него никуда."
5,"Я доволен. Переживал, как будет видно на солнце. Зря переживал - отлично видно. Завёл все навигационные программы. Быстрый процессор жуёт видео без пережимания."
